country,total_weekly_hours_worked(estimates_in_thousands),percentage_of_working_hrs_lost,percent_hours_lost_40hrs_per_week,percent_hours_lost_48hrs_per_week,labour_dependency_ratio,employed_female_25+_2019,employed_male_25+_2019,ratio_of_weekly_hours_worked_by_population_age_15-64,Developing Country
Saint Lucia,3347.042,9.8,9.067,7.556,1.28,37.493,42.474,25.4,1
Sri Lanka,305347.042,9.9,839.294,699.4110000000000,1.58,2448.888,4953.541,21.9,1
Lesotho,27435.134,7.4,55.084000000000000,45.903,2.08,273.678,349.629,20.4,1
Lithuania,47942.555,6.1,77.611,64.676,1.51,649.02,620.464,27.6,0
Luxembourg,10966.125,3.7,10.633,8.861,1.23,123.322,148.666,25.0,0
Latvia,33459.341,3.3,28.766,23.972000000000000,1.45,440.599,426.42700000000000,28.2,0
"Macau, China",16653.861,1.9,8.139,6.782,0.67,169.997,180.45,34.8,1
Morocco,428498.23,14.1,1763.973,1469.977,2.09,2335.6710000000000,7454.4890000000000,17.7,1
"Moldova, Republic of",42694.907,12.9,157.504,131.253,2.1,619.274,644.2720000000000,14.8,1
Madagascar,433007.648,6.9,802.4,668.6670000000000,1.08,4695.859,4904.532,27.5,1
Maldives,12375.27,11.4,39.667,33.056,1.55,47.315,192.30200000000000,29.8,1
Mexico,2116040.526,12.5,7526.447000000000,6272.039000000000,1.47,18169.421000000000,28262.88,24.7,1
North Macedonia,28098.114000000000,13.8,112.719,93.932,2.22,301.647,445.10900000000000,19.5,1
Mali,282815.38,3.3,239.149,199.291,1.92,1964.53,2787.45,27.6,1
Malta,7286.782000000000,10.6,21.654,18.045,1.53,76.855,110.87700000000000,25.7,0
Myanmar,961100.243,13.4,3727.011,3105.842,1.14,7751.563,11880.181,25.9,1
Montenegro,9679.698,7.8,20.451,17.043,2.18,96.66800000000000,123.009,23.3,1
